"Alachua County, Florida (FL001)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,FL001oil ID,,,,,
"Hamilton County, Florida (FL047)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
3,"Alpin sand, 0 to 5 percent slopes ","29,068.70",8.70%,FL04724003,,,,,
2,"Albany fine sand, 0 to 5 percent slopes ","26,828.30",8.10%,FL04724007,,,,,
15,"Valdosta sand, 0 to 5 percent slopes ","11,183.30",3.40%,FL04724002,,,,,
8,"Chipley sand, 0 to 5 percent slopes ","6,720.90",2.00%,FL04724006,,,,,
9,"Foxworth sand, 0 to 5 percent slopes ","5,516.50",1.70%,FL04724004,,,,,
14,Pottsburg sand ,"4,907.40",1.50%,FL04724005,,,,,
10,"Lowndes sand, 0 to 5 percent slopes ","2,003.40",0.60%,FL04724001,,,,,
,,,,,,,,,
,,,,,,,,,
"Hardee County, Florida (FL049)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
10,Pomona fine sand ,"83,155.00",20.40%,FL04925010,,,,,
16,Myakka fine sand ,"41,258.40",10.10%,FL04925014,,,,,
2,Zolfo fine sand ,"20,350.30",5.00%,FL04925005,,,,,
19,Ona fine sand ,"14,547.60",3.60%,FL04925012,,,,,
36,Kaliga muck ,"9,473.60",2.30%,FL04925017,,,,,
21,"Placid fine sand, depressional ","8,585.00",2.10%,FL04925013,,,,,
5,"Tavares fine sand, 0 to 5 percent slopes ","6,632.80",1.60%,FL04925018,,,,,
39,Bradenton loamy fine sand ,"6,374.90",1.60%,FL04925016,,,,,
11,Felda fine sand ,"6,226.50",1.50%,FL04925200,,,,,
22,Pomello fine sand ,"5,627.30",1.40%,FL04925015,,,,,
35,Farmton fine sand ,"5,176.10",1.30%,FL04925202,,,,,
18,Cassia fine sand ,"3,697.50",0.90%,FL04925004,,,,,
23,Sparr fine sand ,"3,135.60",0.80%,FL04925007,,,,,
3,"Ft. Green fine sand, 2 to 5 percent slopes ","1,947.70",0.50%,FL04925008,,,,,
24,Jonathan sand ,"1,879.00",0.50%,FL04925003,,,,,
,,,,,,,,,
,,,,,,,,,
"Hendry County, Florida (FL051)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
4,Oldsmar sand ,"51,431.20",6.90%,FL05126014,,,,,
1,Boca sand ,"49,413.80",6.60%,FL05126001,,,,,
29,"Oldsmar sand, limestone substratum ","29,980.80",4.00%,FL05126017,,,,,
14,"Wabasso sand, limestone substratum ","21,802.70",2.90%,FL05126013,,,,,
8,Malabar sand ,"18,701.50",2.50%,FL05126015,,,,,
57,"Chobee fine sandy loam, depressional ","18,949.70",2.50%,FL05126012,,,,,
2,"Pineda sand, limestone substratum ","17,636.70",2.40%,FL05126010,,,,,
37,Tuscawilla fine sand ,"13,319.60",1.80%,FL05126008,,,,,
9,Riviera fine sand ,"5,377.90",0.70%,FL05126005,,,,,
,,,,,,,,,
,,,,,,,,,
"Hernando County, Florida (FL053)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
14,"Candler fine sand, 0 to 5 percent slopes ","87,853.90",23.20%,FL05327006,,,,,
36,"Nobleton fine sand, 0 to 5 percent slopes ","16,394.60",4.30%,FL05327010,,,,,
6,"Arredondo fine sand, 0 to 5 percent slopes ","15,713.70",4.20%,FL05327011,,,,,
47,"Sparr fine sand, 0 to 5 percent slopes ","11,695.00",3.10%,FL05327029,,,,,
29,"Kendrick fine sand, 0 to 5 percent slopes ","8,541.90",2.30%,FL05327013,,,,,
52,"Wauchula fine sand, 0 to 5 percent slopes ","6,790.70",1.80%,FL05327019,,,,,
35,Myakka fine sand ,"6,508.90",1.70%,FL05327014,,,,,
31,"Lake fine sand, 0 to 5 percent slopes ","5,933.70",1.60%,FL05327028,,,,,
49,"Tavares fine sand, 0 to 5 percent slopes ","5,984.90",1.60%,FL05327008,,,,,
32,"Masaryk very fine sand, 0 to 5 percent slopes ","4,664.00",1.20%,FL05327012,,,,,
18,EauGallie fine sand ,"4,121.70",1.10%,FL05327015,,,,,
39,"Paola fine sand, 0 to 8 percent slopes ","3,044.20",0.80%,FL05327007,,,,,
9,Basinger fine sand ,"1,941.30",0.50%,FL05327017,,,,,
4,Aripeka fine sand ,"1,006.80",0.30%,FL05327024,,,,,
43,"Pomello fine sand, 0 to 5 percent slopes ","1,258.10",0.30%,FL05327023,,,,,
8,"Astatula fine sand, 0 to 8 percent slopes ",865.7,0.20%,FL05327022,,,,,
22,"Flemington fine sandy loam, 8 to 12 percent slopes ",715.5,0.20%,FL05327020,,,,,
,,,,,,,,,
,,,,,,,,,
"Highlands County, Florida (FL055)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
8,Immokalee sand ,"83,052.20",11.70%,FL05528014,,,,,
12,Basinger fine sand ,"63,904.50",9.00%,FL05528017,,,,,
9,"Astatula sand, 0 to 8 percent slopes ","39,124.60",5.50%,FL05528001,,,,,
,Placid soils ,,,FL05528023,,,,,
14,Satellite sand ,"27,964.50",3.90%,FL05528021,,,,,
39,Smyrna sand ,"27,596.40",3.90%,FL05528015,,,,,
13,Felda fine sand ,"25,298.80",3.60%,FL05528010,,,,,
16,Valkaria fine sand ,"23,998.50",3.40%,FL05528009,,,,,
20,Samsula muck ,"17,367.20",2.50%,FL05528013,,,,,
28,"Archbold sand, 0 to 5 percent slopes ","13,461.30",1.90%,FL05528008,,,,,
36,"Pomello sand, 0 to 5 percent slopes ","10,536.00",1.50%,FL05528022,,,,,
1,"Paola sand, 0 to 8 percent slopes ","7,462.60",1.10%,FL05528006,,,,,
17,Malabar fine sand ,"7,704.80",1.10%,FL05528011,,,,,
19,"Hicoria mucky sand, depressional ","7,793.90",1.10%,FL05528016,,,,,
6,"Tavares sand, 0 to 5 percent slopes ","6,964.80",1.00%,FL05528002,,,,,
15,Bradenton fine sand ,"5,385.00",0.80%,FL05528012,,,,,
38,EauGallie fine sand ,"3,804.90",0.50%,FL05528019,,,,,
2,"St. Lucie sand, 0 to 8 percent slopes ","2,811.60",0.40%,FL05528007,,,,,
5,"Daytona sand, 0 to 5 percent slopes ","2,490.50",0.40%,FL05528004,,,,,
11,"Orsino sand, 0 to 5 percent slopes ","2,200.00",0.30%,FL05528005,,,,,
4,"Duette sand, 0 to 5 percent slopes ","1,458.00",0.20%,FL05528003,,,,,
,,,,,,,,,
,,,,,,,,,
"Hillsborough County, Florida (FL057)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
29,Myakka fine sand ,163589.6,0.212,FL10553016,Polk,,,,
61,Zolfo fine sand ,47150.2,0.061,FL10553006,Polk,,,,
7,"Candler fine sand, 0 to 5 percent slopes ",28855.7,0.037,FL10151028,Pasco,,,,
52,Smyrna fine sand ,20309.4,0.026,FL10151023,Pasco,,,,
21,Immokalee fine sand ,15573,0.02,FL10151035,Pasco,,,,
33,Ona fine sand ,14329.7,0.019,FL10553013,Polk,,,,
25,"Lake fine sand, 0 to 5 percent slopes ",13903.6,0.018,FL10151031,Pasco,,,,
41,"Pomello fine sand, 0 to 5 percent slopes ",12953.7,0.017,FL10151032,Pasco,,,,
57,Wabasso fine sand ,11826.9,0.015,FL10553012,Polk,,,,
53,"Tavares-fine sands, 0 to 5 percent slopes ",10553.3,0.014,FL10553019,Polk,,,,
,"Millhopper fine sands, 0 to 5 percent slopes ",,,FL10151024,Pasco,,,,
3,Archbold fine sand ,6960.6,0.009,FL10553023,Polk,,,,
15,Felda fine sand ,4981.4,0.006,FL10151007,Pasco,,,,
35,"Orlando fine sand, 0 to 5 percent slopes ",2749.9,0.004,FL10151036,Pasco,,,,
2,Adamsville fine sand ,1356.6,0.002,FL10151021,Pasco,,,,
11,"Chobee muck, depressional ",816.6,0.001,FL10151034,Pasco,,,,
26,"Lochloosa fine sands, 0 to 5 percent slopes ",480,0.001,FL10151018,Pasco,,,,
37,"Paisley fine sand, depressional ",785.1,0.001,FL10553001,Polk,,,,
23,"Kendrick fine sand, 2 to 5 percent slopes ",329,0,FL10553008,Polk,,,,
,,,,,,,,,
,,,,,,,,,
"Holmes County, Florida (FL059)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
22,"Orangeburg loamy sand, 2 to 5 percent slopes ","4,315.20",1.40%,FL05930005,,,,,
3,Angie fine sandy loam ,"1,419.50",0.50%,FL05930004,,,,,
12,"Faceville sandy loam, 2 to 5 percent slopes ","1,033.20",0.30%,FL05930003,,,,,
,,,,,,,,,
,,,,,,,,,
"Indian River County, Florida (FL061)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
4,Immokalee fine sand ,"16,530.90",4.60%,FL06131003,,,,,
40,Gator muck ,"12,748.60",3.60%,FL06131016,,,,,
41,Canova muck ,"11,229.90",3.20%,FL06131011,,,,,
15,Manatee loamy fine sand ,"3,236.70",0.90%,FL06131005,,,,,
24,Floridana sand ,"2,676.00",0.80%,FL06131017,,,,,
1,"Canaveral fine sand,0 to 5 percent slopes ","2,507.90",0.70%,FL06131008,,,,,
7,"Palm Beach sand, 0 to 5 percent slopes ","1,657.80",0.50%,FL06131020,,,,,
33,"Astatula sand, 0 to 5 percent slopes ","1,523.50",0.40%,FL06131015,,,,,
36,Boca fine sand ,"1,585.30",0.40%,FL06131002,,,,,
9,Pepper sand ,"1,040.30",0.30%,FL06131010,,,,,
31,Jupiter fine sand ,951.2,0.30%,FL06131009,,,,,
11,"St. Lucie sand, 0 to 8 percent slopes ",853.7,0.20%,FL06131014,,,,,
12,"Archbold sand, 0 to 5 percent slopes ",812.3,0.20%,FL06131006,,,,,
48,"Electra sand, 0 to 5 percent slopes ",710.6,0.20%,FL06131007,,,,,
8,"Paola sand, 0 to 5 percent slopes ",292.4,0.10%,FL06131013,,,,,
32,"Jonathan sand, 0 to 5 percent slopes ",200.5,0.10%,FL06131019,,,,,
46,"Orsino fine sand, 0 to 5 percent slopes ",380.5,0.10%,FL06131018,,,,,
,,,,,,,,,
,,,,,,,,,
"Jackson County, Florida (FL063)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
17,"Dothan loamy sand, 2 to 5 percent slopes ","83,016.80",13.60%,FL06332017,,,,,
46,"Orangeburg loamy sand, 2 to 5 percent slopes ","44,139.10",7.20%,FL06332011,,,,,
6,"Blanton coarse sand, 0 to 5 percent slopes ","43,090.80",7.10%,FL06332041,,,,,
30,"Fuquay coarse sand, 0 to 5 percent slopes ","43,585.50",7.10%,FL06332022,,,,,
59,"Troup sand, 0 to 5 percent slopes ","41,755.10",6.80%,FL06332020,,,,,
10,"Chipola loamy sand, 0 to 5 percent slopes ","24,408.30",4.00%,FL06332012,,,,,
12,Clarendon fine sandy loam ,"22,651.70",3.70%,FL06332004,,,,,
8,"Bonifay sand, 0 to 5 percent slopes ","15,631.30",2.60%,FL06332018,,,,,
64,Yonges- association,"16,074.30",2.60%,FL06332008,,,,,
38,"Lakeland sand, 0 to 5 percent slopes ","14,643.60",2.40%,FL06332019,,,,,
54,"Red Bay fine sandy loam, 2 to 5 percent slopes ","12,574.50",2.10%,FL06332026,,,,,
57,"Tifton loamy sand, 2 to 5 percent slopes ","10,114.70",1.70%,FL06332010,,,,,
2,"Albany sand, 0 to 5 percent slopes ","8,868.30",1.50%,FL06332015,,,,,
33,"Greenville fine sandy loam, 2 to 5 percent slopes ","8,836.80",1.40%,FL06332009,,,,,
49,Pansey fine sandy loam ,"7,049.10",1.20%,FL06332039,,,,,
36,"Hornsville fine sandy loam, 2 to 5 percent slopes ","6,801.30",1.10%,FL06332032,,,,,
27,"Esto complex, 5 to 15 percent slopes, severely eroded ","5,907.30",1.00%,FL06332024,,,,,
3,Apalachee clay ,"5,769.50",0.90%,FL06332035,,,,,
21,"Duplin fine sandy loam, 2 to 5 percent slopes ","4,990.30",0.80%,FL06332033,,,,,
4,Bethera silt loam ,"4,171.50",0.70%,FL06332034,,,,,
42,Leefield loamy sand ,"4,257.70",0.70%,FL06332040,,,,,
,,,,,,,,,
,,,,,,,,,
"Jefferson County, Florida (FL065)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
4,Surrency fine sand ,"34,177.20",8.60%,FL06533019,,,,,
8,Chaires fine sand ,"28,757.90",7.20%,FL06533027,,,,,
6,"Dothan loamy fine sand, 2 to 5 percent slopes ","28,367.60",7.10%,FL06533008,,,,,
13,"Orangeburg sandy loam, 2 to 5 percent slopes ","25,416.20",6.40%,FL06533013,,,,,
23,Pelham fine sand ,"19,690.10",5.00%,FL06533033,,,,,
62,"Nutall fine sands, frequently flooded ","18,764.10",4.70%,FL06533037,,,,,
,"Tooles fine sands, frequently flooded ",,,FL06533038,,,,,
20,Albany sand ,"15,770.40",4.00%,FL06533012,,,,,
11,"Lucy loamy fine sand, 0 to 5 percent slopes ","11,621.20",2.90%,FL06533001,,,,,
33,Leefield fine sand ,"9,001.00",2.30%,FL06533023,,,,,
16,"Blanton fine sand, 0 to 5 percent slopes ","8,097.30",2.00%,FL06533002,,,,,
26,Sapelo fine sand ,"6,429.00",1.60%,FL06533026,,,,,
9,Leon fine sand ,"5,831.70",1.50%,FL06533024,,,,,
17,"Troup fine sand, 0 to 5 percent slopes ","5,279.90",1.30%,FL06533003,,,,,
21,"Bonifay fine sand, 0 to 5 percent slopes ","4,727.40",1.20%,FL06533007,,,,,
10,Rains fine sandy loam ,"2,830.50",0.70%,FL06533018,,,,,
,,,,,,,,,
,,,,,,,,,
"Lafayette County, Florida (FL067)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
7,"Chaires-Chaires, depressional complex ","36,451.40",10.40%,FL06734001,,,,,
14,Leon fine sand ,"36,145.80",10.30%,FL06734003,,,,,
,"Lynn Haven soils, depressional ",,,FL06734004,,,,,
,"Hurricane complex, 0 to 5 percent slopes ",,,FL06734006,,,,,
9,"Sapelo, depressional complex ","9,385.90",2.70%,FL06734007,,,,,
6,"Mouzon, depressional complex ","8,600.40",2.50%,FL06734005,,,,,
27,"Albany complex, 0 to 5 percent slopes ","8,488.10",2.40%,FL06734002,,,,,
,,,,,,,,,
,,,,,,,,,
"Lake County Area, Florida (FL607)",,,FIP 69,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
8,"Candler sand, 0 to 5 percent slopes ","108,577.00",17.00%,FL06935004,,,,,
45,"Tavares sand, 0 to 5 percent slopes ","28,039.30",4.40%,FL06935005,,,,,
,,,,,,,,,
,,,,,,,,,
"Lee County, Florida (FL071)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
28,Immokalee sand ,"52,144.70",6.40%,FL07136020,,,,,
13,Boca fine sand ,"37,974.30",4.70%,FL07136009,,,,,
33,Oldsmar sand ,"38,007.60",4.70%,FL07136016,,,,,
6,Hallandale fine sand ,"23,916.30",2.90%,FL07136010,,,,,
23,Wulfert muck ,"18,843.70",2.30%,FL07136006,,,,,
11,Myakka fine sand ,"15,530.90",1.90%,FL07136022,,,,,
10,Pompano fine sand ,"11,161.20",1.40%,FL07136014,,,,,
14,Valkaria fine sand ,"10,629.80",1.30%,FL07136013,,,,,
35,Wabasso sand ,"9,873.90",1.20%,FL07136015,,,,,
45,"Copeland sandy loam, depressional ","6,699.50",0.80%,FL07136023,,,,,
15,Estero muck ,"6,014.90",0.70%,FL07136007,,,,,
24,Kesson fine sand ,"5,591.50",0.70%,FL07136004,,,,,
2,Canaveral fine sand ,"3,922.90",0.50%,FL07136002,,,,,
5,Captiva fine sand ,"3,146.00",0.40%,FL07136003,,,,,
51,"Floridana sand, depressional ","2,042.10",0.30%,FL07136025,,,,,
55,Cocoa fine sand ,"2,302.40",0.30%,FL07136019,,,,,
9,EauGallie sand ,"1,691.20",0.20%,FL07136017,,,,,
37,Satellite fine sand ,"1,356.50",0.20%,FL07136008,,,,,
72,Bradenton fine sand ,"1,400.70",0.20%,FL07136027,,,,,
40,"Anclote sand, depressional ","1,154.80",0.10%,FL07136026,,,,,
61,Orsino fine sand ,912.2,0.10%,FL07136018,,,,,
76,Electra fine sand ,841.6,0.10%,FL07136024,,,,,
,,,,,,,,,
,,,,,,,,,
"Leon County, Florida (FL073)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
34,"Orangeburg fine sandy loam, 5 to 8 percent slopes ","39,989.40",8.90%,FL07337008,,,,,
18,"Kershaw sand, 0 to 5 percent slopes ","21,703.00",4.80%,FL07337016,,,,,
5,"Blanton fine sand, 0 to 5 percent slopes ","20,895.60",4.70%,FL07337007,,,,,
47,Talquin fine sand ,"20,457.20",4.60%,FL07337021,,,,,
1,Albany loamy sand ,"18,810.40",4.20%,FL07337002,,,,,
3,"Alpin sand, 0 to 5 percent slopes ","17,596.80",3.90%,FL07337023,,,,,
8,"Chipley fine sand, 0 to 2 percent slopes ","12,112.60",2.70%,FL07337013,,,,,
39,Pelham fine sand ,"11,065.60",2.50%,FL07337029,,,,,
23,Leon sand ,"7,877.60",1.80%,FL07337028,,,,,
28,"Meggett soils, frequently flooded ","6,596.10",1.50%,FL07337031,,,,,
25,"Lucy fine sand, 5 to 8 percent slopes ","6,195.60",1.40%,FL07337006,,,,,
26,"Lutterloh fine sand, 0 to 5 percent slopes ","5,368.70",1.20%,FL07337022,,,,,
16,"Fuquay fine sand, 0 to 5 percent slopes ","5,028.40",1.10%,FL07337025,,,,,
15,"Foxworth sand, 0 to 5 percent slopes ","4,560.30",1.00%,FL07337003,,,,,
32,Ocilla fine sand ,"4,372.90",1.00%,FL07337026,,,,,
50,"Wagram loamy fine sand, 0 to 5 percent slopes ","4,199.60",0.90%,FL07337012,,,,,
29,"Norfolk loamy fine sand, 2 to 5 percent slopes ","3,520.40",0.80%,FL07337004,,,,,
22,Leefield loamy sand ,"2,776.90",0.60%,FL07337017,,,,,
,,,,,,,,,
,,,,,,,,,
"Levy County, Florida (FL075)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
8,Smyrna fine sand ,"64,383.40",8.20%,FL07538002,,,,,
6,"Candler fine sand, 1 to 5 percent slopes ","60,063.00",7.70%,FL07538010,,,,,
39,"Waccasassa complex, flooded ","50,556.60",6.40%,FL07538008,,,,,
12,"Otela- complex, 1 to 5 percent slopes ","41,024.10",f,FL07538005,,,,,
13,Wekiva fine sand ,"39,447.90",5.00%,FL07538017,,,,,
31,"Jonesville complex, 1 to 5 percent slopes ","29,860.50",3.80%,FL07538006,,,,,
14,"Shadeville complex, 1 to 5 percent slopes ","19,434.10",2.50%,FL07538003,,,,,
55,"Pedro complex, 0 to 5 percent slopes ","14,294.90",1.80%,FL07538025,,,,,
76,"Astatula fine sand, 1 to 8 percent slopes ","12,891.80",1.60%,FL07538011,,,,,
41,"Demory muck, occasionally flooded ","11,121.90",1.40%,FL07538021,,,,,
2,"Tavares fine sand, 1 to 5 percent slopes ","7,772.70",1.00%,FL07538009,,,,,
48,"Lutterloh-complex, 0 to 5 percent slopes ","6,213.90",0.80%,FL07538026,,,,,
,"Moriah complex, 0 to 5 percent slopes ",,,FL07538027,,,,,
3,"Orsino fine sand, 0 to 8 percent slopes ","4,682.80",0.60%,FL07538001,,,,,
19,Sparr fine sand ,"4,710.80",0.60%,FL07538012,,,,,
,"Mabel, complex, 0 to 5 percent slopes ",,,FL07538024,,,,,
18,Wauchula fine sand ,"4,183.40",0.50%,FL07538018,,,,,
,Matmon complex ,,,FL07538028,,,,,
66,"Levyville complex, 2 to 5 percent slopes ","2,521.30",0.30%,FL07538004,,,,,
4,"Millhopper fine sand, 1 to 5 percent slopes ","1,282.30",0.20%,FL07538020,,,,,
49,Hicoria fine sand ,"1,026.60",0.10%,FL07538022,,,,,
,,,,,,,,,
,,,,,,,,,
"Liberty County, Florida (FL077)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
12,"Rutlege soils, depressional ",67192.6,0.124,FL12965001,Wakulla,,,,
34,"Lakeland sand, 0 to 5 percent slopes ",34228.7,0.063,FL12965010,Wakulla,,,,
46,"Hurricane, soils ",16351.9,0.03,FL01307007,Wakulla,,,,
,Albany soils ,,,FL01307014,Wakulla,,,,
5,Rains soils ,15918.7,0.029,FL04523017,Gulf,,,,
,Bladen soils ,,,FL04523020,Gulf,,,,
,"Dorovan soils, frequently flooded ",,,FL03719019,Franklin,,,,
2,"Albany sand, 0 to 5 percent slopes ",11499.9,0.021,FL04523008,Gulf,,,,
,Pelham soils ,,,FL03719018,Franklin,,,,
26,"Foxworth sand, 0 to 5 percent slopes ",9243.3,0.017,FL12965007,Wakulla,,,,
11,"Chipley-complex, 0 to 5 percent slopes ",8459.7,0.016,FL01307011,Calhoun,,,,
39,Leon sand ,8219.3,0.015,FL03719006,Franklin,,,,
56,Pottsburg sand ,7459.4,0.014,FL01307015,Calhoun,,,,
6,"Blanton sand, 0 to 5 percent slopes ",6925.1,0.013,FL04523009,Gulf,,,,
27,"Fuquay loamy sand, 0 to 5 percent slopes ",4643,0.009,FL04523007,Gulf,,,,
49,"Meadowbrook sand, slough ",4564,0.008,FL03719020,Franklin,,,,
63,"Stilson fine sand, 0 to 3 percent slopes ",4050.8,0.008,FL03719014,Franklin,,,,
38,"Leefield loamy sand, 0 to 5 percent slopes ",3019,0.006,FL01307016,Chaloun,,,,
9,"Centenary sand, 0 to 5 percent slopes ",2844.8,0.005,FL13007008,Chaloun,,,,
14,"Dothan loamy sand, 0 to 2 percent slopes ",2319.9,0.004,FL01307001,Chaloun,,,,
81,Scranton fine sand ,1901.1,0.004,FL03719007,Franklin,,,,
69,"Troup sand, 0 to 5 percent slopes ",1655.1,0.003,FL01307013,Chaloun,,,,
54,Pelham loamy sand ,1120,0.002,FL04523025,Gulf,,,,
60,Sapelo sand ,1122.5,0.002,FL04523015,Gulf,,,,
,,,,,,,,,
,,,,,,,,,
"Madison County, Florida (FL079)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
,"Pamlico soils, depressional ",,,FL07940016,,,,,
5,"Blanton sand, 0 to 5 percent slopes ","65,723.00",14.40%,FL07940009,,,,,
2,"Albany sand, 0 to 5 percent slopes ","42,201.10",9.20%,FL07940012,,,,,
48,"Surrency soils, depressional ","41,742.50",9.10%,FL07940021,,,,,
3,Alpin sand ,"28,433.70",6.20%,FL07940010,,,,,
23,Plummer sand ,"28,204.50",6.20%,FL07940018,,,,,
65,"Lovett sand, 0 to 5 percent slopes ","19,106.00",4.20%,FL07940006,,,,,
30,"Ocilla sand, 0 to 5 percent slopes ","14,973.80",3.30%,FL07940020,,,,,
55,"Esto fine sandy loam, 2 to 5 percent slopes ","8,247.20",1.80%,FL07940014,,,,,
13,"Lucy sand, 2 to 5 percent slopes ","6,664.70",1.50%,FL07940007,,,,,
61,"Alaga loamy sand, 0 to 5 percent slopes ","6,765.60",1.50%,FL07940003,,,,,
22,Pelham sand ,"6,153.40",1.30%,FL07940019,,,,,
26,"Troup sand, 0 to 5 percent slopes ","6,143.20",1.30%,FL07940011,,,,,
,,,,,,,,,
,,,,,,,,,
"Manatee County, Florida (FL081)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
20,EauGallie fine sand ,91131.1,0.166,FL02714011,DeSoto,,,,
30,"Myakka fine sand, 0 to 2 percent slopes ",88144.7,0.16,FL04925014,Hardee,,,,
,Immokalee association ,,,FL02714005,DeSoto,,,,
42,"Pomello fine sand, 0 to 2 percent slopes ",24045.7,0.044,FL04925015,Hardee ,,,,
,Pomona complex ,,,FL04925010,Hardee,,,,
11,Cassia fine sand ,18381.9,0.033,FL04925004,Hardee,,,,
48,Wabasso fine sand ,14734,0.027,FL02714017,DeSoto,,,,
5,"Bradenton fine sand, limestone substratum ",8283.8,0.015,FL02714013,DeSoto,,,,
35,"Ona fine sand, orstein substratum ",6654,0.012,FL02714018,DeSoto,,,,
45,"Tavares fine sand, 0 to 5 percent slopes ",3513.5,0.006,FL02714003,DeSoto,,,,
22,Felda fine sand ,2658.3,0.005,FL04925200,Hardee,,,,
54,"Zolfo fine sand, 0 to 2 percent slopes ",2665.6,0.005,FL04925005,Hardee,,,,
,,,,,,,,,
,,,,,,,,,
"Marion County Area, Florida (FL608)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
9,"Arredondo sand, 0 to 5 percent slopes ","78,612.50",10.90%,FL08342119,,,,,
44,"Kendrick loamy sand, 0 to 5 percent slopes ","36,964.10",5.10%,FL08342075,,,,,
65,"Sparr fine sand, 0 to 5 percent slopes ","25,632.00",3.60%,FL08342065,,,,,
46,"Lochloosa fine sand, 0 to 5 percent slopes ","14,032.30",1.90%,FL08342053,,,,,
,"Martel complex, depressional ",,,FL08342104,,,,,
42,"Jumper fine sand, 0 to 5 percent slopes ","5,422.60",0.80%,FL08342091,,,,,
20,"Boardman loamy sand, 5 to 8 percent slopes ","4,871.50",0.70%,FL08342126,,,,,
25,Eaton loamy sand ,"5,306.50",0.70%,FL08342085,,,,,
35,"Gainesville loamy sand, 0 to 5 percent slopes ","5,404.80",0.70%,FL08342012,,,,,
73,"Wacahoota loamy sand, 5 to 8 percent slopes ","5,079.80",0.70%,FL08342125,,,,,
19,"Bluff sandy clay, frequently flooded ","4,097.10",0.60%,FL08342063,,,,,
,,,,,,,,,
,,,,,,,,,
"Martin County, Florida (FL085)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
21,Pineda fine sands ,"49,689.00",9.60%,FL08543005,,,,,
4,Waveland fine sands ,"46,262.40",8.90%,FL08543003,,,,,
17,Wabasso sand ,"34,241.80",6.60%,FL08543024,,,,,
49,"Riviera fine sand, depressional ","31,703.20",6.10%,FL08543018,,,,,
63,Nettles sand ,"14,964.90",2.90%,FL08543001,,,,,
2,Lawnwood fine sands ,"13,355.60",2.60%,FL08543002,,,,,
52,"Malabar fine sand, high ","13,585.80",2.60%,FL08543021,,,,,
47,Pinellas fine sand ,"9,920.10",1.90%,FL08543017,,,,,
19,"Winder sand, depressional ","8,507.80",1.60%,FL08543019,,,,,
57,"Chobee loamy sand, depressional ","6,598.60",1.30%,FL08543022,,,,,
35,Salerno sand ,"6,246.60",1.20%,FL08543004,,,,,
44,Boca fine sand ,"5,055.50",1.00%,FL08543016,,,,,
,Gator  mucks ,"4,465.90",0.90%,FL08543015,,,,,
41,"Jonathan sand, 0 to 5 percent slopes ","3,631.70",0.70%,FL08543010,,,,,
42,Hallandale sand ,"3,450.60",0.70%,FL08543013,,,,,
48,Jupiter sand ,"2,999.00",0.60%,FL08543014,,,,,
14,Archbold sand ,"1,595.40",0.30%,FL08543009,,,,,
30,Bessie muck ,"1,488.10",0.30%,FL08543007,,,,,
28,"Canaveral sand, 0 to 5 percent slopes ",974.1,0.20%,FL08543011,,,,,
,,,,,,,,,
,,,,,,,,,
"Miami-Dade County Area, Florida (FL686)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
12,Perrine marl ,"32,789.70",4.90%,Fl08613001,,,,,
